date,year,month,day_of_month,rainfall_mm,temp_celsius,solar_mj,power_cut,season_day
2021-06-01,2021,6,1,0.63,33.6,21.0,1,1
2021-06-02,2021,6,2,0.0,34.5,17.1,0,2
2021-06-03,2021,6,3,4.92,27.8,18.9,0,3
2021-06-04,2021,6,4,0.0,32.1,16.5,0,4
2021-06-05,2021,6,5,0.0,31.7,19.2,0,5
2021-06-06,2021,6,6,0.0,33.2,17.0,0,6
2021-06-07,2021,6,7,1.4,34.9,16.5,0,7
2021-06-08,2021,6,8,0.0,36.7,19.6,0,8
2021-06-09,2021,6,9,0.0,30.6,15.3,0,9
2021-06-10,2021,6,10,0.0,33.4,19.5,1,10
2021-06-11,2021,6,11,3.45,31.0,14.1,0,11
2021-06-12,2021,6,12,0.0,30.3,16.2,0,12
2021-06-13,2021,6,13,5.1,34.8,15.3,0,13
2021-06-14,2021,6,14,0.0,32.4,17.0,0,14
2021-06-15,2021,6,15,2.35,34.7,18.1,0,15
2021-06-16,2021,6,16,7.08,34.6,16.5,0,16
2021-06-17,2021,6,17,10.97,30.2,17.9,0,17
2021-06-18,2021,6,18,0.0,31.9,15.0,0,18
2021-06-19,2021,6,19,2.28,32.1,19.4,0,19
2021-06-20,2021,6,20,4.03,35.7,17.5,0,20
2021-06-21,2021,6,21,2.16,32.3,18.2,1,21
2021-06-22,2021,6,22,0.0,33.5,15.2,0,22
2021-06-23,2021,6,23,1.77,33.4,13.6,0,23
2021-06-24,2021,6,24,2.83,29.7,17.6,1,24
2021-06-25,2021,6,25,1.45,32.2,20.0,0,25
2021-06-26,2021,6,26,0.0,34.5,20.8,0,26
2021-06-27,2021,6,27,0.0,30.2,16.0,1,27
2021-06-28,2021,6,28,0.0,31.9,14.9,0,28
2021-06-29,2021,6,29,3.11,34.2,17.1,0,29
2021-06-30,2021,6,30,1.92,34.1,18.1,0,30
2021-07-01,2021,7,1,20.56,28.8,16.3,0,31
2021-07-02,2021,7,2,0.0,31.9,20.4,1,32
2021-07-03,2021,7,3,8.21,32.3,16.9,1,33
2021-07-04,2021,7,4,2.68,32.6,20.1,0,34
2021-07-05,2021,7,5,0.0,29.9,15.7,0,35
2021-07-06,2021,7,6,0.0,31.6,19.9,0,36
2021-07-07,2021,7,7,0.86,29.8,17.7,0,37
2021-07-08,2021,7,8,0.0,31.5,18.0,0,38
2021-07-09,2021,7,9,0.0,33.2,19.3,0,39
2021-07-10,2021,7,10,2.16,30.8,19.0,0,40
2021-07-11,2021,7,11,0.0,30.3,19.6,0,41
2021-07-12,2021,7,12,0.0,29.6,17.0,0,42
2021-07-13,2021,7,13,0.0,31.9,21.5,1,43
2021-07-14,2021,7,14,0.0,32.6,18.1,0,44
2021-07-15,2021,7,15,0.0,29.6,20.8,0,45
2021-07-16,2021,7,16,0.0,31.5,18.5,0,46
2021-07-17,2021,7,17,0.0,33.2,18.0,0,47
2021-07-18,2021,7,18,0.0,31.3,18.4,0,48
2021-07-19,2021,7,19,7.72,29.7,21.1,0,49
2021-07-20,2021,7,20,0.0,28.2,17.1,0,50
2021-07-21,2021,7,21,0.0,32.6,16.6,0,51
2021-07-22,2021,7,22,12.49,34.6,19.2,0,52
2021-07-23,2021,7,23,0.0,31.0,18.9,0,53
2021-07-24,2021,7,24,0.0,30.3,14.7,1,54
2021-07-25,2021,7,25,2.46,33.5,16.6,0,55
2021-07-26,2021,7,26,0.0,30.0,15.5,0,56
2021-07-27,2021,7,27,0.0,32.4,22.2,0,57
2021-07-28,2021,7,28,16.7,30.6,18.4,1,58
2021-07-29,2021,7,29,0.0,29.1,17.8,0,59
2021-07-30,2021,7,30,24.32,33.0,16.0,0,60
2021-07-31,2021,7,31,0.0,28.8,16.0,1,61
2021-08-01,2021,8,1,0.0,30.7,18.1,0,62
